iteration,idxS,idxE,S,E,P,overlap,overlap_score,overlap_density,real_overlap
1,0,0,000000,000000,000000,000000,6,1.0,False
2,0,1,000000,000001,000001,00000-,5,0.8333333333333334,False
3,0,2,000000,000010,000010,0000-0,5,0.8333333333333334,False
4,0,3,000000,000100,000100,000-00,5,0.8333333333333334,False
5,0,4,000000,001000,001000,00-000,5,0.8333333333333334,False
6,0,5,000000,010000,010000,0-0000,5,0.8333333333333334,False
7,0,6,000000,100001,100001,-0000-,4,0.6666666666666666,False
8,0,7,000000,000011,000011,0000--,4,0.6666666666666666,False
9,0,8,000000,000110,000110,000--0,4,0.6666666666666666,False
10,0,9,000000,001100,001100,00--00,4,0.6666666666666666,False
11,0,10,000000,011000,011000,0--000,4,0.6666666666666666,False
12,0,11,000000,110001,110001,--000-,3,0.5,False
13,0,12,000000,100010,100010,-000-0,4,0.6666666666666666,False
14,0,13,000000,000101,000101,000-0-,4,0.6666666666666666,False
15,0,14,000000,001010,001010,00-0-0,4,0.6666666666666666,False
16,0,15,000000,010100,010100,0-0-00,4,0.6666666666666666,False
17,0,16,000000,101000,101000,-0-000,4,0.6666666666666666,False
18,0,17,000000,010001,010001,0-000-,4,0.6666666666666666,False
19,0,18,000000,100011,100011,-000--,3,0.5,False
20,0,19,000000,000111,000111,000---,3,0.5,False
21,0,20,000000,001110,001110,00---0,3,0.5,False
22,0,21,000000,011100,011100,0---00,3,0.5,False
23,0,22,000000,111001,111001,---00-,2,0.3333333333333333,False
24,0,23,000000,110010,110010,--00-0,3,0.5,False
25,0,24,000000,100100,100100,-00-00,4,0.6666666666666666,False
26,0,25,000000,001001,001001,00-00-,4,0.6666666666666666,False
27,0,26,000000,010010,010010,0-00-0,4,0.6666666666666666,False
28,0,27,000000,100101,100101,-00-0-,3,0.5,False
29,0,28,000000,001011,001011,00-0--,3,0.5,False
30,0,29,000000,010110,010110,0-0--0,3,0.5,False
31,0,30,000000,101100,101100,-0--00,3,0.5,False
32,0,31,000000,011001,011001,0--00-,3,0.5,False
33,0,32,000000,110011,110011,--00--,2,0.3333333333333333,False
34,0,33,000000,100110,100110,-00--0,3,0.5,False
35,0,34,000000,001101,001101,00--0-,3,0.5,False
36,0,35,000000,011010,011010,0--0-0,3,0.5,False
37,0,36,000000,110100,110100,--0-00,3,0.5,False
38,0,37,000000,101001,101001,-0-00-,3,0.5,False
39,0,38,000000,010011,010011,0-00--,3,0.5,False
40,0,39,000000,100111,100111,-00---,2,0.3333333333333333,False
41,0,40,000000,001111,001111,00----,2,0.3333333333333333,False
42,0,41,000000,011110,011110,0----0,2,0.3333333333333333,False
43,0,42,000000,111101,111101,----0-,1,0.16666666666666666,False
44,0,43,000000,111010,111010,---0-0,2,0.3333333333333333,False
45,0,44,000000,110101,110101,--0-0-,2,0.3333333333333333,False
46,0,45,000000,101010,101010,-0-0-0,3,0.5,False
47,0,46,000000,010101,010101,0-0-0-,3,0.5,False
48,0,47,000000,101011,101011,-0-0--,2,0.3333333333333333,False
49,0,48,000000,010111,010111,0-0---,2,0.3333333333333333,False
50,0,49,000000,101110,101110,-0---0,2,0.3333333333333333,False
51,0,50,000000,011101,011101,0---0-,2,0.3333333333333333,False
52,0,51,000000,111011,111011,---0--,1,0.16666666666666666,False
53,0,52,000000,110110,110110,--0--0,2,0.3333333333333333,False
54,0,53,000000,101101,101101,-0--0-,2,0.3333333333333333,False
55,0,54,000000,011011,011011,0--0--,2,0.3333333333333333,False
56,0,55,000000,110111,110111,--0---,1,0.16666666666666666,False
57,0,56,000000,101111,101111,-0----,1,0.16666666666666666,False
58,0,57,000000,011111,011111,0-----,1,0.16666666666666666,False
59,0,58,000000,111111,111111,------,0,0.0,False
