group,index,x_mm,y_mm
E,0,50.0,5.0
E,1,54.411,5.217
E,2,58.779,5.865
E,3,63.063,6.938
E,4,67.221,8.425
E,5,71.213,10.314
E,6,75.001,12.584
E,7,78.548,15.215
E,8,81.82,18.18
E,9,84.785,21.452
E,10,87.416,24.999
E,11,89.686,28.787
E,12,91.575,32.779
E,13,93.062,36.937
E,14,94.135,41.221
E,15,94.783,45.589
E,16,95.0,50.0
E,17,94.783,54.411
E,18,94.135,58.779
E,19,93.062,63.063
E,20,91.575,67.221
E,21,89.686,71.213
E,22,87.416,75.001
E,23,84.785,78.548
E,24,81.82,81.82
E,25,78.548,84.785
E,26,75.001,87.416
E,27,71.213,89.686
E,28,67.221,91.575
E,29,63.063,93.062
E,30,58.779,94.135
E,31,54.411,94.783
E,32,50.0,95.0
E,33,45.589,94.783
E,34,41.221,94.135
E,35,36.937,93.062
E,36,32.779,91.575
E,37,28.787,89.686
E,38,24.999,87.416
E,39,21.452,84.785
E,40,18.18,81.82
E,41,15.215,78.548
E,42,12.584,75.001
E,43,10.314,71.213
E,44,8.425,67.221
E,45,6.938,63.063
E,46,5.865,58.779
E,47,5.217,54.411
E,48,5.0,50.0
E,49,5.217,45.589
E,50,5.865,41.221
E,51,6.938,36.937
E,52,8.425,32.779
E,53,10.314,28.787
E,54,12.584,24.999
E,55,15.215,21.452
E,56,18.18,18.18
E,57,21.452,15.215
E,58,24.999,12.584
E,59,28.787,10.314
E,60,32.779,8.425
E,61,36.937,6.938
E,62,41.221,5.865
E,63,45.589,5.217
S,0,50.0,19.0
S,1,53.039,19.149
S,2,56.048,19.596
S,3,58.999,20.335
S,4,61.863,21.36
S,5,64.613,22.66
S,6,67.223,24.224
S,7,69.666,26.037
S,8,71.92,28.08
S,9,73.963,30.334
S,10,75.776,32.777
S,11,77.34,35.387
S,12,78.64,38.137
S,13,79.665,41.001
S,14,80.404,43.952
S,15,80.851,46.961
S,16,81.0,50.0
S,17,80.851,53.039
S,18,80.404,56.048
S,19,79.665,58.999
S,20,78.64,61.863
S,21,77.34,64.613
S,22,75.776,67.223
S,23,73.963,69.666
S,24,71.92,71.92
S,25,69.666,73.963
S,26,67.223,75.776
S,27,64.613,77.34
S,28,61.863,78.64
S,29,58.999,79.665
S,30,56.048,80.404
S,31,53.039,80.851
S,32,50.0,81.0
S,33,46.961,80.851
S,34,43.952,80.404
S,35,41.001,79.665
S,36,38.137,78.64
S,37,35.387,77.34
S,38,32.777,75.776
S,39,30.334,73.963
S,40,28.08,71.92
S,41,26.037,69.666
S,42,24.224,67.223
S,43,22.66,64.613
S,44,21.36,61.863
S,45,20.335,58.999
S,46,19.596,56.048
S,47,19.149,53.039
S,48,19.0,50.0
S,49,19.149,46.961
S,50,19.596,43.952
S,51,20.335,41.001
S,52,21.36,38.137
S,53,22.66,35.387
S,54,24.224,32.777
S,55,26.037,30.334
S,56,28.08,28.08
S,57,30.334,26.037
S,58,32.777,24.224
S,59,35.387,22.66
S,60,38.137,21.36
S,61,41.001,20.335
S,62,43.952,19.596
S,63,46.961,19.149
P,0,39.5,50
P,1,43.7,50
P,2,47.9,50
P,3,52.1,50
P,4,56.3,50
P,5,60.5,50
R,0,86,86
